nane,address,latitude,longitude
경일고등학교,부산광역시 강서구 영강길 153-42 ,35.1124823631391,128.922414839467
경혜여자고등학교,부산광역시 북구 시랑로21번길 138 ,35.2041876060598,129.010503832856
계성여자고등학교,부산광역시 연제구 해맞이로109번길 47 ,35.1829754665442,129.067865796623
광명고등학교,부산광역시 영도구 와치로 131 ,35.0836654934396,129.064604543853
금성고등학교,부산광역시 동구 증산로 83 ,35.1346371315836,129.051509238523
금정전자고등학교,부산광역시 금정구 서금로 75 ,35.2217332794802,129.107301186225
남성여자고등학교,부산광역시 중구 샘길 14 ,35.1057147891365,129.03441205823
대광고등학교,부산광역시 사하구 동매로 135 ,35.1012761461933,128.97257230098
대덕여자고등학교,부산광역시 사상구 백양대로804번길 42-55 ,35.179445198582,128.993382622707
대동고등학교,부산광역시 사하구 을숙도대로709번길 27 ,35.0873647967419,128.984239087976
대명여자고등학교,부산광역시 동래구 시실로 135 ,35.2121100102298,129.09621410633
대양고등학교,부산광역시 남구 지게골로 128-27 ,35.1333821837638,129.073979746951
대연고등학교,부산광역시 남구 조각공원로 20 ,35.1288918685055,129.102093439857
대진전자통신고등학교,부산광역시 금정구 수림로 92 ,35.2415054898132,129.081805199513
덕문여자고등학교,부산광역시 수영구 연수로310번길 114 ,35.1677443933781,129.103648428619
데레사여자고등학교,부산광역시 동구 정공단로47번길 14 ,35.1373528261247,129.054703048223
동래여자고등학교,부산광역시 금정구 체육공원로 20 ,35.2470423417948,129.098197198652
동명공업고등학교,부산광역시 남구 신선로 410 ,35.1208330965154,129.101318490793
동아고등학교,부산광역시 사하구 괴정로244번길 63 ,35.0934092807155,128.984428430078
동아공업고등학교,부산광역시 사하구 괴정로260번길 79 ,35.0932200793315,128.988428636061
동의공업고등학교,부산광역시 부산진구 양지로 50 ,35.1660659899309,129.071738456807
동인고등학교,부산광역시 동래구 쇠미로31번길 34 ,35.1985219327927,129.050996855642
동주여자고등학교,부산광역시 중구 광복중앙로 18 ,35.1009588637352,129.03135389875
동천고등학교,부산광역시 남구 못골번영로 105 ,35.1443372223072,129.08680425263
배정고등학교,부산광역시 남구 장고개로85번길 14-16 ,35.132152049647,129.067413430466
배정미래고등학교,부산광역시 남구 장고개로85번길 14-40 ,35.1310932228008,129.068086834397
부산관광고등학교,부산광역시 서구 천마로 52 ,35.0824926337918,129.022431637694
부산대저고등학교,부산광역시 강서구 공항로811번가길 46 ,35.1775866767524,128.956293958325
부산동고등학교,부산광역시 부산진구 동성로30번길 36 ,35.1532695409112,129.071252703527
부산동성고등학교,부산광역시 부산진구 동성로 16 ,35.1515169206016,129.069779256029
부산디지털고등학교,부산광역시 중구 망양로 356 ,35.1088542935771,129.032446718094
부산마케팅고등학교,부산광역시 부산진구 봉수로 13 ,35.1510804365952,129.07045186954
부산문화여자고등학교,부산광역시 해운대구 해운대로469번길 50 ,35.1659740667895,129.143533817713
부산보건고등학교,부산광역시 영도구 절영로 163 ,35.0815219348064,129.041283833883
부산세무고등학교,부산광역시 남구 진남로 82-19 ,35.1396492103605,129.085826000163
부산센텀여자고등학교,부산광역시 해운대구 해운대로469번길 50-1 ,35.1659188356084,129.144357825848
부산여자상업고등학교,부산광역시 수영구 금련로 43 ,35.1691149939292,129.096444664531
부산예술고등학교,부산광역시 금정구 체육공원로 20 ,35.2470423417948,129.098197198652
부산외국어고등학교,부산광역시 연제구 고분로 144 ,35.1837067178737,129.097147677545
부산정보고등학교,부산광역시 부산진구 화지로 24 ,35.177523598521,129.064520463276
부산정보관광고등학교,부산광역시 금정구 동현로 37 ,35.2239489683268,129.091910329086
부산진여자고등학교,부산광역시 부산진구 양정로 48 ,35.1695007378961,129.075097129338
부산컴퓨터과학고등학교,부산광역시 동구 초량로80번길 5 ,35.1210635047358,129.032912274757
부일외국어고등학교,부산광역시 사하구 감천로73번길 36 ,35.0907360856604,129.002560444682
부일전자디자인고등학교,부산광역시 사하구 감천로73번길 36 ,35.0907360856604,129.002560444682
브니엘고등학교,부산광역시 금정구 체육공원로 154 ,35.254853055713,129.103926382394
브니엘여자고등학교,부산광역시 금정구 체육공원로 154 ,35.254853055713,129.103926382394
브니엘예술고등학교,부산광역시 금정구 체육공원로 154 ,35.254853055713,129.103926382394
사직여자고등학교,부산광역시 동래구 쇠미로27번길 21 ,35.1968431020903,129.051447234444
삼성여자고등학교,부산광역시 사하구 감천로43번길 45 ,35.09422497078,128.998232841977
삼정고등학교,부산광역시 북구 시랑로118번길 53 ,35.1936008195928,129.010057451757
성도고등학교,부산광역시 북구 시랑로132번길 87 ,35.1939754532565,129.005437912679
성모여자고등학교,부산광역시 부산진구 양지로 29-1 ,35.1672613581424,129.072124023713
성일여자고등학교,부산광역시 사하구 다대로 161 ,35.0894995115559,128.980062642206
성지고등학교,부산광역시 남구 유엔로 39 ,35.1288098183972,129.080646391024
세정고등학교,부산광역시 부산진구 양정로 88-12 ,35.1699702577491,129.079361619356
양정고등학교,부산광역시 부산진구 양정로 46 ,35.1699094082471,129.075086884096
영산고등학교,부산광역시 해운대구 반송순환로 142-1 ,35.2260586222154,129.155449657942
예문여자고등학교,부산광역시 남구 동명로92번길 76 ,35.115528076916,129.107507680699
용인고등학교,부산광역시 동래구 시실로107번길 37 ,35.2145123720842,129.094960415516
이사벨고등학교,부산광역시 연제구 중앙대로 1197 ,35.1935341410497,129.077938035705
장안제일고등학교,부산광역시 기장군 장안읍 좌천2길 43 ,35.3145046642382,129.240745302742
지산고등학교,부산광역시 금정구 오륜대로 50 ,35.243390139104,129.098813002596
학산여자고등학교,부산광역시 동래구 충렬사로51번길 62 ,35.2064422850803,129.096549496864
한얼고등학교,부산광역시 남구 고동골로69번가길 54 ,35.1461610209521,129.071146233927
해동고등학교,부산광역시 사하구 사하로141번나길 11-15 ,35.0928545362236,128.990423076467
해운대고등학교,부산광역시 해운대구 우동3로11번길 43 ,35.1714876011605,129.162473755162
해운대관광고등학교,부산광역시 해운대구 우동2로60번길 38 ,35.1705255618567,129.157127834724
해운대여자고등학교,부산광역시 해운대구 우동1로85번길 71 ,35.1696019502584,129.153023483112
혜광고등학교,부산광역시 중구 망양로259번길 5 ,35.1087998229336,129.024605403666
혜화여자고등학교,부산광역시 동래구 명장로 99 ,35.2022946956278,129.110722798361
부산산업학교,부산광역시 사상구 백양대로768번길 64 ,35.173998176706,128.990444960097
