name,address,latitude,longitude
구남중학교,부산광역시 북구 백양대로1016번길 38 ,35.195957219058,128.997862099693
구포중학교,부산광역시 북구 백양대로1016번다길 31 ,35.1949558686261,128.996494833312
금곡중학교,부산광역시 북구 효열로162번길 3 ,35.2608591476402,129.017198853531
금명중학교,부산광역시 북구 화명신도시로 210-1 ,35.2434221967348,129.012057637264
낙동중학교,부산광역시 강서구 대저로 115 ,35.2164338529477,128.96627635671
대천리중학교,부산광역시 북구 산성로 87-15 ,35.2423544097168,129.021631174393
덕문중학교,부산광역시 강서구 동선길 144 ,35.0520755987206,128.829814501458
덕천여자중학교,부산광역시 북구 의성로47번길 45-4 ,35.2176561800534,129.011580664712
덕천중학교,부산광역시 북구 만덕대로65번길 50 ,35.2142340165897,129.011813439782
덕포여자중학교,부산광역시 사상구 사상로310번길 110 ,35.1703693467894,128.98615771709
동주중학교,부산광역시 사상구 주례로 107 ,35.1459029653326,129.003961009499
만덕중학교,부산광역시 북구 만덕1로 52 ,35.2149160162535,129.031283651957
명지중학교,부산광역시 강서구 명지국제6로318번길 54 ,35.1019389245782,128.925582823025
명진중학교,부산광역시 북구 학사로 192 ,35.2397777078334,129.009700119007
명호중학교,부산광역시 강서구 명지오션시티2로 100 ,35.080531231776,128.898709773901
모동중학교,부산광역시 사상구 모라로192번길 51 ,35.1849621333867,129.003087199121
모라중학교,부산광역시 사상구 백양대로 936 ,35.1906711982981,128.992445281673
백양중학교,부산광역시 북구 상리로 70 ,35.2071274738595,129.040561906412
신덕중학교,부산광역시 북구 함박봉로140번가길 27 ,35.2031697903196,129.030802931394
신호중학교,부산광역시 강서구 신호산단2로 76 ,35.0824142569904,128.877092368508
양덕여자중학교,부산광역시 북구 시랑로21번길 178 ,35.2042128047371,129.0134063059
엄궁중학교,부산광역시 사상구 대동로 56 ,35.1348927024866,128.974858673819
용수중학교,부산광역시 북구 금곡대로229번길 88 ,35.23024847769,129.007761442931
주감중학교,부산광역시 사상구 백양대로 530 ,35.1564451010229,128.995461515191
주례여자중학교,부산광역시 사상구 가야대로306번길 55 ,35.1489478658757,129.00737785349
주례중학교,부산광역시 사상구 가야대로378번길 68 ,35.1484767008536,129.014170602449
지사중학교,부산광역시 강서구 과학산단로306번길 33 ,35.1521968610193,128.835322866037
학장중학교,부산광역시 사상구 대동로140번길 60 ,35.1379034680087,128.982824270846
화명중학교,부산광역시 북구 금곡대로186번길 13 ,35.2263915538214,129.011686603195
화신중학교,부산광역시 북구 산성로12번길 22 ,35.2386448485594,129.014539515793
녹산중학교,부산광역시 강서구 낙동남로 659 ,35.118148207295,128.8878835782
