mart_type,address,latitude,longitude
홈플러스익스프레스,부산 기장군 정관면 모전리 738-8,35.3341538672817,129.166006356963
롯데슈퍼,부산 북구 화명동 2324,35.2225048548668,129.011338721247
기타마트,부산 기장군 정관면 산단1로 133,35.3191333632944,129.180120113796
GS더프레시,부산 강서구 명지동 801-12번지,0,0
기타마트,부산 해운대구 윗반송로 8,35.229680657517,129.150490913555
기타마트,부산 금정구 중앙대로 1989,35.262146679655,129.091312246261
기타마트,부산 동래구 사직북로33번길 34,35.1987931460448,129.058314626864
기타마트,부산 사하구 감천로 29,35.091897472622,128.996106196606
기타마트,부산 사하구 낙동대로 353,35.1008160899453,128.978476917389
기타마트,부산 남구 홍곡로 3,35.1163335003356,129.081710910392
기타마트,부산 영도구 태종로 194,35.0942157156795,129.049421366116
롯데슈퍼,부산 금정구 남산동 68-1,35.2623057581461,129.091362810362
기타마트,부산 서구 충무대로 246,35.092666523009,129.024416038767
기타마트,부산 동래구 아시아드대로 215,35.203586737591,129.066360179098
기타마트,부산 사하구 다대로554번길 7,35.0569180182916,128.97032108417
기타마트,부산 기장군 기장읍 읍내로 49,35.2454227825896,129.209927637097
GS더프레시,부산 금정구 부곡동 225-58,35.237281326952,129.089444548963
기타마트,부산 기장군 기장읍 대청로71번길 5,35.2370018382642,129.21746518327
GS더프레시,부산 사상구 엄궁동 106,35.127574860367,128.977862547973
GS더프레시,부산 강서구 명지동 1090,0,0
롯데슈퍼,부산 남구 대연5동 1742-4,35.1358895483642,129.091033516477
롯데슈퍼,부산 연제구 연산9동 490-7,35.1817735463246,129.106766670463
GS더프레시,부산 강서구 과학산단로306번길 10,35.1496624579146,128.836823584967
GS더프레시,부산 금정구 장전동 538-1,35.2271910692667,129.08277656029
롯데슈퍼,부산 남구 문현4동 358-9,35.1358450918781,129.070606523152
롯데슈퍼,부산 영도구 동삼2동 770,35.0686325291337,129.080796407814
이마트에브리데이,부산 강서구 명지동 3238-13,35.0830256555298,128.903267935241
롯데슈퍼,부산 강서구 명지동 3231,35.0848812110043,128.897756456183
롯데슈퍼,부산 기장군 정관면 모전리 776,35.3298186463909,129.165831927607
롯데슈퍼,부산 남구 용호동 954,35.1333064025743,129.113185996469
롯데슈퍼,부산 사하구 제석로 68,35.1064050244405,128.975374218263
롯데슈퍼,부산 사상구 학장동 573-1,35.1375814798419,128.979109751979
이마트에브리데이,부산 기장군 일광읍 삼성리 806,35.2609593959213,129.221513880081
