number,station_name,address1,address2,latitude,longitude
2호선,경성대·부경대(동명대학교),부산광역시 남구 대연동 77,부산광역시 남구 수영로 지하 324,35.1374600427085,129.100245551187
2호선,대연(고려병원),부산광역시 남구 대연동 1756-27,부산광역시 남구 수영로 지하 242,35.1342618278855,129.094442536445
2호선,못골(남구청),부산광역시 남구 대연동 1756-27,부산광역시 남구 수영로 지하 170,35.1342618278855,129.094442536445
2호선,지게골,부산광역시 남구 문현동 254-2,부산광역시 남구 수영로 지하 70,35.1355458266433,129.074472012415
2호선,문현,부산광역시 남구 문현동 651-1,부산광역시 남구 전포대로 지하 17,35.1394369667854,129.067334165584
2호선,국제금융센터·부산은행,부산광역시 남구 문현동 728-3,부산광역시 남구 전포대로 지하97 ,35.1463788448687,129.066608250466
2호선,전포,부산광역시 부산진구 전포동 870-1,부산광역시 부산진구 전포대로 지하 181,35.1537667720257,129.06543421447
2호선,서면,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 부전동 573번지,35.157747424359,129.060050995677
2호선,부암(온종합병원),부산광역시 부산진구 부전동 368-12,부산광역시 부산진구 가야대로 지하 719,35.1578041324751,129.051183250257
2호선,가야,부산광역시 부산진구 가야동 15-13,부산광역시 부산진구 가야대로 지하 650,35.1557642295819,129.042691323526
2호선,동의대,부산광역시 부산진구 가야동 236-4,부산광역시 부산진구 가야대로 지하 554,35.1538409923852,129.031695923858
2호선,개금,부산광역시 부산진구 개금동 487-2,부산광역시 부산진구 가야대로 지하 442,35.1530543978348,129.019289434274
2호선,냉정,부산광역시 사상구 주례동 62-2,부산광역시 사상구 가야대로 지하 362-1,35.1512291649664,129.011545207505
2호선,주례,부산광역시 사상구 주례동 1162-16,부산광역시 사상구 가야대로 지하 292,35.1503033702211,129.003178212893
2호선,감전(사상구청),부산광역시 사상구 감전동 174,부산광역시 사상구 사상로 지하 93-1,35.1519801003929,128.975221367088
2호선,사상(서부터미널),부산광역시 사상구 괘법동 572-1,부산광역시 사상구 사상로 지하 203,35.1603144653541,128.976171628871
2호선,덕포,부산광역시 사상구 덕포동 430,부산광역시 사상구 사상로 지하 320-1,35.1744352756936,128.985607551532
2호선,모덕,부산광역시 사상구 덕포동 247-7,부산광역시 사상구 사상로 지하 409,35.1810797722267,128.985488862574
2호선,모라,부산광역시 사상구 모라동 987-8,부산광역시 사상구 사상로 지하 498,35.1887401,128.988301
2호선,구남,부산광역시 북구 구포동 897-21,부산광역시 북구 백양대로 지하 1026,35.1969251881805,128.995024828242
2호선,구명,부산광역시 북구 구포동 969-1,부산광역시 북구 백양대로 지하 1094,35.2024211853681,128.99923354051
2호선,덕천(부산과기대),부산광역시 북구 덕천동 327,부산광역시 북구 금곡대로 지하 14,35.2102579134656,129.005867473279
2호선,수정(방송통신대),부산광역시 북구 화명동 941-1,부산광역시 북구 금곡대로 지하160 ,35.222995861994,129.009029921406
2호선,화명,부산광역시 북구 화명동 1458-9,부산광역시 북구 금곡대로 지하 311,35.2362514003053,129.01396912969
2호선,율리,부산광역시 북구 금곡동 1241,부산광역시 북구 금곡대로 지하 440,35.2475260227369,129.012927695525
2호선,동원,부산광역시 북구 금곡동 846-1,부산광역시 북구 금곡대로 575,35.258942514863,129.012787836503
2호선,금곡,부산광역시 북구 금곡동 581-1,부산광역시 북구 금곡대로 685,35.2675795706857,129.016995960925
2호선,호포,경상남도 양산시 동면 가산리 산 91-5,경상남도 양산시 동면 양산대로 62,35.2799043721204,129.018115639093
2호선,증산,경상남도 양산시 물금읍 증산리 35-6,경상남도 양산시 물금읍 메기로 168,35.3082579,129.010282
2호선,부산대양산캠퍼스,경상남도 양산시 물금읍 범어리 2635,경상남도 양산시 물금읍 메기로 270,35.3168654,129.013981
2호선,남양산(범어),경상남도 양산시 동면 석산리 1265-1,경상남도 양산시 동면 메기로 380,35.3253983702348,129.01978714904
2호선,양산(시청·동원과학기술대학교),경상남도 양산시 중부동 475-1,경상남도 양산시 강변로 441,35.3387292834969,129.02644134379
3호선,수영,부산광역시 수영구 광안동 1091-1,부산광역시 수영구 수영로 677,35.1678305653692,129.116430828828
3호선,망미(병무청),부산광역시 수영구 망미동 603-2,부산광역시 수영구 연수로 지하 337,35.1722921467801,129.109822092638
3호선,배산,부산광역시 연제구 연산동 1805-3,부산광역시 연제구 연수로 지하 229,35.1733698594442,129.096164756692
3호선,물만골,부산광역시 연제구 연산동 1515-11,부산광역시 연제구 월드컵대로 지하 23,35.1801682551483,129.084231881247
3호선,연산,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 연산동 1515-1번지,35.1891715000524,129.080842900335
3호선,거제(법원·검찰청),부산광역시 연제구 거제동 1190-1,부산광역시 연제구 월드컵대로 지하 209,35.1886286777338,129.07385122042
3호선,종합운동장,부산광역시 연제구 거제동 1191-2,부산광역시 연제구 아시아드대로 지하 73,35.1914635056248,129.067267057813
3호선,사직,부산광역시 동래구 사직동 161-1,부산광역시 동래구 아시아드대로 지하 153,35.1988056188254,129.072113641997
3호선,미남,부산광역시 동래구 온천동 1470,부산광역시 동래구 아시아드대로 지하 232,35.2065619637495,129.072864887696
3호선,만덕,부산광역시 북구 만덕동 607-1,부산광역시 북구 만덕대로 지하 291,35.21318864829,129.035066777408
3호선,남산정(부산폴리텍대학),부산광역시 북구 만덕동 706-6,부산광역시 북구 만덕대로 지하 179,35.2134657095582,129.025044680291
3호선,숙등(부민병원),부산광역시 북구 덕천동 462,부산광역시 북구 만덕대로 지하 79,35.2112456695637,129.00987149336
3호선,덕천(부산과기대),부산광역시 북구 덕천동 327,부산광역시 북구 덕천동 327번지,35.2102579134656,129.005867473279
3호선,구포,부산광역시 북구 구포동 1060-470,부산광역시 북구 낙동대로 1697,35.2055532470477,128.997276143333
3호선,강서구청,부산광역시 강서구 대저1동 2300-3,부산광역시 강서구 낙동북로 485,35.2113252213052,128.980947284059
3호선,체육공원,부산광역시 강서구 대저1동 2327-35,부산광역시 강서구 낙동북로 371,35.2086505539526,128.977855640881
3호선,대저,부산광역시 강서구 대저1동 1500-2,부산광역시 강서구 낙동북로 295,35.2131597003944,128.962729561183
4호선,미남,부산광역시 동래구 온천동 1470,부산광역시 동래구 충렬대로 지하 147,35.2065619637495,129.072864887696
4호선,동래,부산광역시 동래구 온천동 1486,부산광역시 동래구 온천2동 1486번지,35.2032808619428,129.070279772602
4호선,수안,부산광역시 동래구 수안동 204-2,부산광역시 동래구 충렬대로 지하 223,35.2018368298853,129.083897697782
4호선,낙민,부산광역시 동래구 낙민동 205-4,부산광역시 동래구 충렬대로 지하 285,35.2003551679507,129.090466043504
4호선,충렬사(안락),부산광역시 동래구 안락동 473,부산광역시 동래구 반송로 지하 205,35.1998030260265,129.097514204581
4호선,명장,부산광역시 동래구 명장동 184,부산광역시 동래구 반송로 지하 281,35.2046551569857,129.107185462478
4호선,서동,부산광역시 금정구 서동 241,부산광역시 금정구 반송로 지하 387,35.2152289784381,129.104386522021
4호선,금사,부산광역시 금정구 금사동 154-1,부산광역시 금정구 반송로 지하 465,35.2152232188536,129.113069099329
