,index,address,latitude,longitude,cvs
61,61,부산광역시 수영구 민락수변로 9-1,35.1549773653242,129.124177142892,7eleven
62,62,부산광역시 수영구 수영로594번길 90 1층 ,35.15803715237,129.118187269161,7eleven
63,63,부산광역시 수영구 광안로49번길 67 ,35.1578592954762,129.119401086818,7eleven
64,64,부산광역시 수영구 장대골로7번길 20 제지하1층 제비 101호,35.157981981667,129.112074361452,7eleven
65,65,부산광역시 수영구 광안해변로 175 ,35.150267870208,129.115563341389,7eleven
66,66,부산광역시 수영구 무학로10번길 35,35.1602295579965,129.114655448,7eleven
67,67,부산광역시 수영구 광안로61번길 60 ,35.1555049261777,129.12208862779,7eleven
68,68,부산광역시 수영구 광안해변로 165 106호,35.1495818614483,129.115024527941,7eleven
69,69,부산광역시 수영구 광안로21번길 23,35.1575109665508,129.115161026946,7eleven
70,70,부산광역시 수영구 수영로 553-11 ,35.1551962297634,129.111749961902,7eleven
71,71,부산광역시 동래구 충렬대로 96 광혜병원 ,35.2069683553419,129.071145271145,7eleven
72,72,부산광역시 사하구 사리로 48 ,35.1040139738466,128.998844320752,7eleven
73,73,부산광역시 사하구 낙동대로 137 상가 104호 ,35.1029750375863,129.000802771143,7eleven
74,74,부산광역시 사하구 사하로141번길 69-1 화이 트빌라,35.095175342193,128.989254621159,7eleven
75,75,부산시 연제구 교대로 6 ,35.1955206048852,129.079278563434,7eleven
76,76,부산광역시 연제구 여고로 84-1,35.1964573972074,129.072829044,7eleven
77,77,부산시 북구 구남로 9 ,35.1982818958006,128.994598448858,7eleven
78,78,부산광역시 북구 낙동북로681번길 46 정원아 트빌라,35.2021831517701,129.000790036367,7eleven
79,79,부산광역시 금정구 금정로 208 1층 ,35.2427272143901,129.089450172526,7eleven
80,80,부산광역시 금정구 안뜰로 10 1층 전체,35.2547345535343,129.092539289666,7eleven
81,81,부산광역시 금정구 구서로 23 1층,35.24660852211,129.088522144457,7eleven
82,82,부산광역시 사하구 감천항로 172 ,35.0775650998355,128.990238015999,7eleven
83,83,부산광역시 사하구 감천항로 195,35.0755614065246,128.99069886332,7eleven
84,84,부산광역시 북구 낙동북로663번길 61 ,35.2040638263059,128.999310375211,7eleven
85,85,부산광역시 북구 모분재로 50 ,35.2030157291596,129.005805471527,7eleven
86,86,부산광역시 북구 백양대로1124번길 82 1층 1호,35.2012660704701,129.003620761374,7eleven
87,87,부산광역시 북구 백양대로1016번길 22 지하1층 1호,35.196018146599,128.995889471309,7eleven
88,88,부산광역시 북구 사랑로94번길 10 ,0,0,7eleven
89,89,부산광역시 북구 모분재로23번길 76 가동 101호,35.2063690834203,129.010154998173,7eleven
90,90,부산광역시 북구 시랑로62번길 17 화목맨션 1층 2호,35.199784356736,129.004329270238,7eleven
91,91,부산시 연제구 중앙대로 1217 ,35.1959158710317,129.079314109005,7eleven
92,92,부산광역시 동구 충장대로 206 제4부두 ,35.1177469739969,129.049145820618,7eleven
93,93,부산광역시 북구 덕천로276번길 32-4 ,35.2082510305019,129.033891646466,7eleven
94,94,부산광역시 동래구 금강로131번길 1 ,35.2204205498292,129.080330346611,7eleven
95,95,부산광역시 금정구 금사동 개좌로 141-9,35.2250852498928,129.115884520061,7eleven
96,96,부산광역시 금정구 체육공원로 702 ,35.3031321001707,129.112161392647,7eleven
97,97,부산광역시 금정구 구서중앙로15번길 20 ,35.2538696284383,129.089057150062,7eleven
98,98,부산광역시 금정구 부곡로 154 ,35.2296250830788,129.092443657546,7eleven
99,99,부산광역시 기장군 장안읍 고무로 328,35.3301907885251,129.281717203625,7eleven
100,100,부산광역시 기장군 기장읍 차성로 359,35.249613382187,129.213587816538,7eleven
101,101,부산광역시 기장군 기장대로 470 1층 상가 104호,35.2371223556054,129.21896208869,7eleven
102,102,부산광역시 기장군 차성서로 22 대청빌라 1층,35.2354863748029,129.211205383808,7eleven
103,103,부산광역시 기장군 기장읍 동부산관광8로 11 ,35.1898011228878,129.215006208145,7eleven
104,104,부산광역시 기장군 차성로390번길 15 1층,35.252458783337,129.215909303933,7eleven
105,105,부산광역시 기장군 기장읍 차성남로 69 ,35.2413176408477,129.215789483177,7eleven
106,106,부산광역시 기장군 기장읍 연화1길 143-2,35.2172301445694,129.226186156905,7eleven
107,107,부산광역시 기장군 기장읍 차성동로142번길 14,35.2503023020933,129.218643230138,7eleven
108,108,부산광역시 기장군 기장읍 차성동로 168-24 ,35.2525703254732,129.218559828233,7eleven
109,109,부산광역시 기장군 차성남로 5 1층,35.2415792225169,129.20875863477,7eleven
110,110,부산광역시 기장군 기장읍 대청로 19 1층,35.2379770162239,129.212357081078,7eleven
111,111,부산광역시 기장군 일광면 학리등대로 86-1 ,35.2578395833302,129.246703642636,7eleven
112,112,부산광역시 해운대구 센텀동로 26 에이-103 에이2호,0,0,7eleven
113,113,부산광역시 사하구 낙동남로1367번길 23 1층 102호,35.107582934259,128.961160581268,7eleven
114,114,부산시 동래구 충렬대로 312 ,35.1992079400749,129.092889348664,7eleven
115,115,부산시 동래구 안남로 31번길 6 ,35.1944880491339,129.095921963408,7eleven
116,116,부산광역시 금정구 금강로693번길 42 ,35.2693213495915,129.086650765483,7eleven
117,117,부산광역시 금정구 범어천로31번길 16 1층,35.2681928126612,129.089862462365,7eleven
118,118,부산광역시 금정구 금강로740번길 10 ,35.27340928738,129.089683105044,7eleven
119,119,부산광역시 금정구 중앙대로2035번길 7,35.2658397878782,129.09182020186,7eleven
120,120,부산광역시 금정구 팔송로7번길 19 ,35.271353877454,129.091788721676,7eleven
121,121,부산광역시 수영구 광안해변로15번길 54 뉴비 치아파트,35.1388126941007,129.110246664672,7eleven
122,122,부산광역시 수영구 수영로408번길19 ,35.1420534795632,129.109348565532,7eleven
123,123,부산광역시 영도구 절영로94번길 2,35.0862483389477,129.039618313826,7eleven
124,124,부산광역시 사하구 다대낙조1길 12 상가동 104호,35.0497878788608,128.967717475445,7eleven
125,125,부산광역시 해운대구 달맞이길117번나길 155 101호,35.1633635705999,129.184732106864,7eleven
126,126,부산광역시 부산진구 가야대로691번길 4 ,35.1570583422595,129.04729469166,7eleven
127,127,부산시 부산진구 당감로 18-1 ,35.1633740425335,129.039841027671,7eleven
128,128,부산광역시 부산진구 백양관문로 101 1층 비호,35.1669332736502,129.027537743545,7eleven
129,129,부산광역시 금정구 부곡로142번길 49 문구프 라자,35.2283078972577,129.09496829578,7eleven
130,130,부산광역시 사상구 광장로86번길 41,35.160361118887,128.987682144588,7eleven
131,131,부산광역시 금정구 금강로321번길 80,35.2370522044297,129.082145309498,7eleven
132,132,부산광역시 서구 대영로 44 ,35.109311435456,129.016280812251,7eleven
133,133,부산광역시 서구 구덕로322번길 9 ,35.1127489934892,129.016934822251,7eleven
134,134,부산광역시 금정구 부산대학로 10,35.2330659140749,129.08997847798,7eleven
135,135,부산광역시 남구 수영로 256-1,35.1351100463544,129.09470034034,7eleven
136,136,부산광역시 남구 유엔평화로47번길 142 동백 원룸,35.1306217626875,129.10000801078,7eleven
137,137,부산광역시 남구 못골로41번길 20 ,35.1366802471645,129.087134120006,7eleven
138,138,부산광역시 남구 수영로 135 상가B동 104호,35.1351788284131,129.080339078292,7eleven
139,139,부산광역시 남구 못골번영로50번길 20 ,35.1394893163317,129.090182472912,7eleven
140,140,부산광역시 남구 유엔평화로41번가길 42,35.1330827104532,129.092781584225,7eleven
141,141,부산광역시 남구 수영로266번길 99 ,35.1329082046846,129.099944210302,7eleven
142,142,부산광역시 남구 수영로 358번길 28,35.1381774142751,129.105247016551,7eleven
143,143,부산광역시 남구 못골로 95-1 1층 ,35.1357812188697,129.092902225613,7eleven
144,144,부산광역시 남구 수영로220번길 21 ,35.1339708271335,129.090713485515,7eleven
145,145,부산광역시 남구 진남로 36,35.1382274666334,129.091302527406,7eleven
146,146,부산광역시 남구 유엔평화로 8 ,35.1343503770679,129.091690728494,7eleven
147,147,부산광역시 남구 수영로325번길 12,35.1387844865167,129.101979990195,7eleven
148,148,부산광역시 강서구 공항로 1373,35.2199508650483,128.990754712233,7eleven
149,149,부산광역시 강서구 대저중앙로 46 ,35.2167794925496,128.95302830272,7eleven
150,150,부산광역시 강서구 대저중앙로 344 ,35.2208389383472,128.984292711004,7eleven
151,151,부산광역시 강서구 평강로 316 ,35.2128701985606,128.947161208472,7eleven
152,152,부산광역시 중구 중앙대로 129 ,35.1092446165018,129.036814194962,7eleven
153,153,부산 중구 대청로 90-1,35.1027562596671,129.029799378481,7eleven
154,154,부산시 북구 의성로 83 ,35.2132105245674,129.01018885433,7eleven
155,155,부산시 북구 만덕대로 23 ,35.2111074893963,129.007592963592,7eleven
156,156,부산광역시 북구 백양대로 1176 1층,35.2072900668196,129.005168166064,7eleven
157,157,부산광역시 북구 만덕대로40번길 45 ,35.2090953579782,129.010302700248,7eleven
158,158,부산광역시 북구 만덕대로 3,35.2105478501047,129.005713307288,7eleven
159,159,부산 사상구 덕포동 삼덕로 28,35.1740277306492,128.97992468119,7eleven
160,160,부산광역시 사상구 사상로309번길 23 1층[세븐일레븐 부분],35.1723269657361,128.981939409742,7eleven
161,161,부산시 사상구 덕상로 22 ,35.1733213925966,128.989798148497,7eleven
162,162,부산광역시 중구 동광길 99 ,35.107233153054,129.035111181049,7eleven
163,163,부산광역시 동구 증산로 150-3 ,35.1393526264576,129.053287980856,7eleven
164,164,부산광역시 서구 구덕로296번길 20 제1층 전부,35.1107165522426,129.018743484758,7eleven
165,165,부산광역시 동래구 여고북로 125 1층 일부,35.2013818310191,129.071898261904,7eleven
166,166,부산광역시 동래구 안남로 79 뜨란채아파트 1층 105호,35.195538188241,129.102446944314,7eleven
167,167,부산광역시 동래구 온천동 중앙대로1333번길 72 101호,35.2070637802377,129.073698153731,7eleven
168,168,부산광역시 동래구 명륜로129번나길 49 ,0,0,7eleven
169,169,부산광역시 동래구 온천천로 165 ,35.2049943117829,129.07900190215,7eleven
170,170,부산광역시 동래구 충렬대로200번길 25,35.2018228547911,129.080330624903,7eleven
171,171,부산광역시 동래구 안락로 38 1층 ,35.2001093078873,129.101188615262,7eleven
172,172,부산광역시 동래구 차밭골로20번길 3,35.2165471723086,129.07933718933,7eleven
